Pole Time,Track,Year,Air Temperature
0 days 00:01:21.164000,Melbourne,2018,28.9
0 days 00:01:27.958000,Sakhir,2018,31.5
0 days 00:01:31.095000,Shanghai,2018,15.2
0 days 00:01:41.498000,Baku,2018,26.0
0 days 00:01:16.173000,Barcelona,2018,26.5
0 days 00:01:10.810000,Monte Carlo,2018,47.7
0 days 00:01:10.764000,Montréal,2018,43.6
0 days 00:01:30.029000,Le Castellet,2018,31.5
0 days 00:01:03.130000,Spielberg,2018,31.5
0 days 00:01:25.892000,Silverstone,2018,52.9
0 days 00:01:11.212000,Hockenheim,2018,37.8
0 days 00:01:16.666000,Budapest,2018,32.0
0 days 00:01:41.501000,Spa-Francorchamps,2018,25.6
0 days 00:01:19.119000,Monza,2018,33.7
0 days 00:01:36.015000,Singapore,2018,32.9
0 days 00:01:31.387000,Sochi,2018,34.9
0 days 00:01:27.760000,Suzuka,2018,27.4
0 days 00:01:32.237000,Austin,2018,21.8
0 days 00:01:14.759000,Mexico City,2018,29.4
0 days 00:01:07.281000,São Paulo,2018,31.6
0 days 00:01:34.794000,Yas Marina,2018,30.7
0 days 00:01:20.486000,Melbourne,2019,35.0
0 days 00:01:27.866000,Sakhir,2019,27.8
0 days 00:01:31.547000,Shanghai,2019,31.7
0 days 00:01:40.495000,Baku,2019,26.6
0 days 00:01:15.406000,Barcelona,2019,35.6
0 days 00:01:10.166000,Monte Carlo,2019,41.1
0 days 00:01:10.240000,Montréal,2019,48.4
0 days 00:01:28.319000,Le Castellet,2019,52.4
0 days 00:01:03.003000,Spielberg,2019,50.0
0 days 00:01:25.093000,Silverstone,2019,28.7
0 days 00:01:11.767000,Hockenheim,2019,44.1
0 days 00:01:14.572000,Budapest,2019,39.2
0 days 00:01:42.519000,Spa-Francorchamps,2019,40.0
0 days 00:01:19.307000,Monza,2019,37.8
0 days 00:01:36.217000,Singapore,2019,33.7
0 days 00:01:31.628000,Sochi,2019,29.9
0 days 00:01:27.064000,Suzuka,2019,38.1
0 days 00:01:14.758000,Mexico City,2019,34.9
0 days 00:01:32.029000,Austin,2019,25.9
0 days 00:01:07.503000,São Paulo,2019,34.2
0 days 00:01:34.779000,Yas Island,2019,28.2
0 days 00:01:15.584000,Barcelona,2020,48.7
0 days 00:01:15.584000,Barcelona,2020,48.7
0 days 00:01:02.939000,Spielberg,2020,48.9
0 days 00:01:02.939000,Spielberg,2020,48.9
0 days 00:01:13.447000,Budapest,2020,25.6
0 days 00:01:24.303000,Silverstone,2020,41.2
0 days 00:01:24.303000,Silverstone,2020,41.2
0 days 00:01:15.584000,Barcelona,2020,48.7
0 days 00:01:41.252000,Spa-Francorchamps,2020,23.7
0 days 00:01:18.887000,Monza,2020,44.6
0 days 00:01:15.144000,Mugello,2020,44.1
0 days 00:01:31.304000,Sochi,2020,31.7
0 days 00:01:25.269000,Nürburgring,2020,19.4
0 days 00:01:16.466000,Portimão,2020,35.5
0 days 00:01:13.609000,Imola,2020,23.9
0 days 00:01:47.765000,Istanbul,2020,13.0
0 days 00:01:27.264000,Sakhir,2020,27.2
0 days 00:01:27.264000,Sakhir,2020,27.2
0 days 00:01:35.246000,Yas Island,2020,27.3
0 days 00:01:28.997000,Bahrain,2021,32.6
0 days 00:01:28.997000,Sakhir,2021,32.6
0 days 00:01:14.411000,Imola,2021,30.6
0 days 00:01:17.968000,Portimão,2021,36.5
0 days 00:01:16.741000,Barcelona,2021,44.1
0 days 00:01:10.346000,Monte Carlo,2021,30.5
0 days 00:01:41.218000,Baku,2021,44.4
0 days 00:01:29.990000,Le Castellet,2021,41.9
0 days 00:01:03.841000,Spielberg,2021,53.5
0 days 00:01:03.841000,Spielberg,2021,53.5
0 days 00:01:26.023000,Silverstone,2021,38.0
0 days 00:01:15.419000,Budapest,2021,57.2
0 days 00:01:56.025000,Spa-Francorchamps,2021,17.4
0 days 00:01:08.885000,Zandvoort,2021,35.1
0 days 00:01:19.555000,Monza,2021,30.7
0 days 00:01:41.993000,Sochi,2021,16.0
0 days 00:01:22.868000,Istanbul,2021,23.5
0 days 00:01:32.910000,Austin,2021,34.6
0 days 00:01:15.875000,Mexico City,2021,45.3
0 days 00:01:07.934000,São Paulo,2021,24.0
0 days 00:01:20.827000,Lusail,2021,28.5
0 days 00:01:27.511000,Jeddah,2021,30.7
0 days 00:01:22.109000,Yas Island,2021,28.0
0 days 00:01:29.708000,Sakhir,2023,26.7
0 days 00:01:29.708000,Sakhir,2023,26.7
0 days 00:01:28.265000,Jeddah,2023,30.8
0 days 00:01:16.732000,Melbourne,2023,22.5
0 days 00:01:40.203000,Baku,2023,28.8
0 days 00:01:26.814000,Miami,2023,42.7
0 days 00:01:11.365000,Monaco,2023,44.5
0 days 00:01:12.272000,Barcelona,2023,25.6
0 days 00:01:18.725000,Montréal,2023,18.9
0 days 00:01:04.391000,Spielberg,2023,36.9
0 days 00:01:26.720000,Silverstone,2023,26.3
0 days 00:01:16.609000,Budapest,2023,42.9
0 days 00:01:46.168000,Spa-Francorchamps,2023,22.7
0 days 00:01:10.567000,Zandvoort,2023,23.8
0 days 00:01:20.294000,Monza,2023,38.7
0 days 00:01:30.984000,Marina Bay,2023,33.8
0 days 00:01:28.877000,Suzuka,2023,34.1
0 days 00:01:23.778000,Lusail,2023,34.1
0 days 00:01:34.723000,Austin,2023,40.0
0 days 00:01:17.166000,Mexico City,2023,41.6
0 days 00:01:10.021000,São Paulo,2023,35.7
0 days 00:01:32.726000,Las Vegas,2023,16.7
0 days 00:01:23.445000,Yas Island,2023,31.0
